城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,静安,新上刚需全南2房，中间楼栋，产证满五年税费少，诚售,https://sh.lianjia.com/ershoufang/107107473790.html,3室1厅,87.04平米,南,低楼层(共24层),简装,明园森林都市滴翠苑,大宁, 810万,"93,061元/平",2007年建,20天以前发布,9人关注,板楼、VR房源、房本满五年
上海,静安,地铁全明南北通两房，电梯高区享受jue佳景观,https://sh.lianjia.com/ershoufang/107107035575.html,2室2厅,114.98平米,南,高楼层(共32层),毛坯,新弘国际公寓,大宁, 1260万,"109,585元/平",2008年建,2个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,房子满五 唯  一+看房方便+业主诚意出售,https://sh.lianjia.com/ershoufang/107106019696.html,2室1厅,71.51平米,南,高楼层(共6层),简装,广茂苑,大宁, 545万,"76,214元/平",1998年建,8个月以前发布,49人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,次新小区+人车分流+精装3房+满五税少,https://sh.lianjia.com/ershoufang/107107045136.html,3室2厅,94.99平米,南 北,低楼层(共14层),精装,象屿大宁悦府,大宁, 1118万,"117,697元/平",2016年建,2个月以前发布,35人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,大宁公园旁+公园旁大三房+楼层好+全明户型+随时看房,https://sh.lianjia.com/ershoufang/107105592458.html,3室2厅,125.61平米,南 北,6层,简装,芳沁苑,大宁, 949万,"75,552元/平",2000年建,11个月以前发布,76人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,满五年不靠高架 高区采光视野无遮挡 随时看房,https://sh.lianjia.com/ershoufang/107107170603.html,3室2厅,91.02平米,南,高楼层(共23层),精装,上海滩大宁城(公寓),大宁, 1065万,"117,008元/平",2011年建,2个月以前发布,12人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,满五年，免双税，华润静安府117平3房央座视野好，钥匙,https://sh.lianjia.com/ershoufang/107106059810.html,3室2厅,117.5平米,南,低楼层(共26层),精装,静安府东区,大宁, 1599万,"136,086元/平",2018年建,8个月以前发布,55人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,静安,近地铁20号线  近公园 户型正气 中高区楼层 停车方便,https://sh.lianjia.com/ershoufang/107106974958.html,2室2厅,107.3平米,南,中楼层(共11层),精装,佳宁花园,大宁, 950万,"88,537元/平",2002年建,2个月以前发布,20人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,静安次新房，人车分流，产证满5年税费节约一个车位钱,https://sh.lianjia.com/ershoufang/107105689833.html,3室2厅,117.5平米,南,中楼层(共26层),精装,静安府东区,大宁, 1588万,"135,149元/平",2018年建,10个月以前发布,111人关注,板楼、近地铁、VR看装修、房本满两年、随时看房
上海,静安,房龄新 南北3+1四房  中高区 视野好 税费少,https://sh.lianjia.com/ershoufang/107105936289.html,4室2厅,135.27平米,南 北,中楼层(共31层),精装,慧芝湖花园（三期）,大宁, 1800万,"133,068元/平",2011年建,9个月以前发布,60人关注,板楼、VR看装修、房本满五年
上海,静安,这么便宜的3房不来看看？！蕝对有惊喜！！！,https://sh.lianjia.com/ershoufang/107107151235.html,3室2厅,124.7平米,南 北,低楼层(共14层),简装,新梅共和城,大宁, 1198万,"96,071元/平",2004年建,2个月以前发布,26人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,有电梯的叠加别墅 带露台 带地下室 双车位 未入住过,https://sh.lianjia.com/ershoufang/107107110698.html,4室2厅,179.08平米,南,中楼层(共4层) ,毛坯,静安府西区,大宁, 2750万,"153,563元/平",,2个月以前发布,27人关注,板楼、近地铁、VR房源、房本满两年、随时看房
上海,静安,远眺金茂大厦，南向视野开阔，安静位置，金茂物业,https://sh.lianjia.com/ershoufang/107106863439.html,3室2厅,147.9平米,南 东,低楼层(共33层),毛坯,明园森林都市涵翠苑,大宁, 1399万,"94,591元/平",2013年建,3个月以前发布,14人关注,塔楼、VR房源、房本满五年、随时看房
上海,静安,静安大宁 中间楼层 大宁公园旁 港式风格 品质小区,https://sh.lianjia.com/ershoufang/107106663824.html,2室2厅,102.58平米,南 西南,中楼层(共6层),简装,嘉茵苑,大宁, 810万,"78,963元/平",1998年建,4个月以前发布,115人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,静安府南北户型三居室，精装全配，品质高，拎包住,https://sh.lianjia.com/ershoufang/107106706107.html,3室2厅,93.35平米,南 北,高楼层(共30层) ,精装,静安府西区,大宁, 1320万,"141,404元/平",,4个月以前发布,26人关注,板楼、VR看装修、房本满两年、随时看房
上海,静安,久光百货旁，直通大公园，宽敞大2房！急售！成本低！,https://sh.lianjia.com/ershoufang/107106940756.html,2室2厅,82.52平米,南 北,6层,精装,绿色丽园,大宁, 830万,"100,582元/平",2003年建,3个月以前发布,41人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,静安,高区景观房+动迁满五且一+双南户型+婚房装修保养好,https://sh.lianjia.com/ershoufang/107107061519.html,2室2厅,79.74平米,南,中楼层(共27层),精装,粤秀名邸,大宁, 650万,"81,515元/平",2014年建,2个月以前发布,29人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,市北高新区  次新小区 南北户型 带独立餐厅 环境优美,https://sh.lianjia.com/ershoufang/107105155701.html,2室2厅,82.16平米,南 北,低楼层(共28层),简装,粤秀名邸,大宁, 598万,"72,785元/平",2014年建,一年前发布,31人关注,板楼、VR看装修、房本满五年、随时看房
上海,静安,可谈哦：地下室可做影视房、台球房、书房、儿童乐园等,https://sh.lianjia.com/ershoufang/107107028715.html,2室2厅,134.8平米,南 北,低楼层(共12层),简装,盛源家豪城,大宁, 1042万,"77,300元/平",2008年建,2个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,静安,中间楼层 大两房户型 采光无忧 南北通全明，车位充足,https://sh.lianjia.com/ershoufang/107105743495.html,2室2厅,84.64平米,南 北,中楼层(共28层),精装,粤秀名邸,大宁, 625万,"73,843元/平",2014年建,10个月以前发布,31人关注,板楼、VR看装修、房本满五年、随时看房
