城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,虹口,鲁迅公园 地铁口低总价两房 94年小区,https://sh.lianjia.com/ershoufang/107106604153.html,2室1厅,46.11平米,南,高楼层(共7层),简装,西江湾路235弄,鲁迅公园, 292万,"63,327元/平",1994年建,4个月以前发布,51人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,"中间楼层,南北户型、双轨交站、虹口龙之梦、满五税少",https://sh.lianjia.com/ershoufang/107106996573.html,2室0厅,51.07平米,南,中楼层(共6层),简装,何家宅小区,鲁迅公园, 357万,"69,905元/平",1988年建,2个月以前发布,6人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,卖房有决心，值等您来，非普但税少降低购房成本，打新,https://sh.lianjia.com/ershoufang/107106358328.html,2室2厅,100.09平米,南,中楼层(共27层),简装,玉龙大厦,鲁迅公园, 680万,"67,939元/平",1998年建,5个月以前发布,27人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,同心苑 2室2厅 南,https://sh.lianjia.com/ershoufang/107107322305.html,2室2厅,87.78平米,南,中楼层(共7层),简装,同心苑,鲁迅公园, 700万,"79,745元/平",1998年建,1个月以前发布,9人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,急售！！近公园+美丽家园小区+房龄新+楼层好+生活便利,https://sh.lianjia.com/ershoufang/107106467667.html,1室1厅,44.9平米,南,低楼层(共6层),简装,欧四小区,鲁迅公园, 336万,"74,833元/平",1991年建,5个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,南北通透 ，位置安静，离地铁口300米，双轨交通,https://sh.lianjia.com/ershoufang/107106744325.html,2室1厅,56.13平米,南 北,高楼层(共6层),简装,何家宅小区,鲁迅公园, 368万,"65,563元/平",1990年建,4个月以前发布,2人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,新装修边套全明，配套成熟，近地铁400米，楼层好,https://sh.lianjia.com/ershoufang/107107312460.html,1室1厅,42.47平米,南,中楼层(共6层),精装,西江湾路105号,鲁迅公园, 317万,"74,641元/平",1985年建,1个月以前发布,2人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,欧阳名邸 3室2厅 南,https://sh.lianjia.com/ershoufang/107106641740.html,3室2厅,124.7平米,南,低楼层(共29层),精装,欧阳名邸,鲁迅公园, 1350万,"108,260元/平",2003年建,4个月以前发布,3人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,近公园+全明户型+低单价+精装修+闹中取静+生活便利,https://sh.lianjia.com/ershoufang/107106583715.html,2室2厅,108.82平米,南,低楼层(共18层) ,精装,裕群公寓,鲁迅公园, 790万,"72,597元/平",,4个月以前发布,8人关注,塔楼、近地铁、VR看装修、房本满五年
上海,虹口,瑞虹商圈+10号线地铁口+边套全明+高绿化+品质小区,https://sh.lianjia.com/ershoufang/107106910762.html,3室2厅,122.92平米,南,低楼层(共22层),简装,世博花园,鲁迅公园, 1280万,"104,133元/平",2004年建,3个月以前发布,20人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,鲁迅公园+四轨交通+满五且只有这一套，业主诚售,https://sh.lianjia.com/ershoufang/107105087162.html,2室1厅,49.75平米,南,高楼层(共6层),精装,四达路210弄,鲁迅公园, 370万,"74,372元/平",1983年建,一年前发布,30人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,德阳花苑 3室2厅 南,https://sh.lianjia.com/ershoufang/107106836520.html,3室2厅,179.9平米,南,高楼层(共11层),精装,德阳花苑,鲁迅公园, 1720万,"95,609元/平",1998年建,3个月以前发布,2人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,93年曲阳首批商品房，婚房精装，双南双阳台方正户型,https://sh.lianjia.com/ershoufang/107105035573.html,2室1厅,61.49平米,南,高楼层(共6层),精装,曲阳新村,鲁迅公园, 475万,"77,249元/平",1993年建,一年前发布,41人关注,板楼、近地铁、VR房源、房本满五年
上海,虹口,三轨交 西边套全明 得房率高 电梯高区视野无遮挡,https://sh.lianjia.com/ershoufang/107106686257.html,3室2厅,159.09平米,南,高楼层(共13层),简装,绿洲紫荆花园,鲁迅公园, 1480万,"93,030元/平",2000年建,4个月以前发布,18人关注,板楼、近地铁、VR看装修、房本满五年
